ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Source_comment
ibat1238-dom,ibat1238,dom,symmetric I,dom-sym1,,reid1966ivatan;ReidLiao2004[441],
yami1254-dom,yami1254,dom,symmetric I,dom-sym1,,rau2006yami,
nort2875-dom,nort2875,dom,symmetric I,dom-sym1,,"garcia2018northern_alta[186, 205–213]",
pang1290-dom,pang1290,dom,symmetric I,dom-sym1,,"benton1971pangasinan[47–57, 193]",
ibal1244-dom,ibal1244,dom,symmetric I,dom-sym1,,ruffolo2004ibaloy[145–160],
bala1310-dom,bala1310,dom,symmetric II,dom-sym2,,"shetler1976balangao[50–55, 124–145]",
limo1248-dom,limo1248,dom,no DOM,dom-none,,"ferreirinho1993limos[10–17, 73–75]",
dupa1235-dom,dupa1235,dom,no DOM,dom-none,,robinson2008dupaningan[92–99];healey1960agta,
kank1243-dom,kank1243,dom,no DOM,dom-none,,"allen2014kankanaey[92–96, 113, 365–366]",
iban1267-dom,iban1267,dom,no DOM,dom-none,,dita2010ibanag,
cent2292-dom,cent2292,dom,no DOM,dom-none,,"reid1970bontoc;seidenadel1909bontoc[25–26];waterman1932igorot;fukuda1997discourse[47–48, 62]",
ilok1237-dom,ilok1237,dom,no DOM,dom-none,,"rubino1997ilocano[31–32, 38–39, 47–48, 208, 449];wimbish1987ilocano[75];ReidLiao2004[465]",
pamp1243-dom,pamp1243,dom,asymmetric I,dom-asym1,,"richards1971pampangan[62, 118–121];gonzalez1981pampangan[100, 123, 194];mirikitani1972kapampangan[211]",
buol1237-dom,buol1237,dom,asymmetric I,dom-asym1,,zobel2005buol,
taga1270-dom,taga1270,dom,symmetric I,dom-sym1,,latrouite2011differential,
hili1240-dom,hili1240,dom,symmetric I,dom-sym1,,"spitz2001hiligaynon[7–14, 47];wolfenden1971hiligaynon;wolfenden1975hiligaynon_syntax;motus1971hiligaynon;mithun2019hiligaynon",
akla1240-dom,akla1240,dom,symmetric I,dom-sym1,,chai1971aklan;cruz1968aklanon[145–155],
taga1272-dom,taga1272,dom,symmetric II,dom-sym2,,dubois1991tagabawa;dubois2005tagabawa_texts;brainard1990quotes,
goro1259-dom,goro1259,dom,asymmetric II,dom-asym2,,little1978gorontalo[112–120],
mati1250-dom,mati1250,dom,symmetric II,dom-sym2,,wang2006matigsalug[45–49],
cebu1242-dom,cebu1242,dom,no DOM,dom-none,,"tanangkingsing2009cebuano[109–119, 353–361, 401–405];yap1976cebuano;wolff1965cebuano",
biko1240-dom,biko1240,dom,no DOM,dom-none,,mintz1971bikol;mcfarland1974bikol[156],
iray1237-dom,iray1237,dom,no DOM,dom-none,,or2020iraya;reid2017iraya,
agut1237-dom,agut1237,dom,symmetric II,dom-sym2,,quakenbush2010overview;quakenbush2005agutaynen,
tbol1240-dom,tbol1240,dom,asymmetric II,dom-asym2,,"forsberg1992pedagogical[68–70, 84];porter1977tboli[55–58]",
kemb1249-dom,kemb1249,dom,no DOM,dom-none,,connell2013mateq,
rata1244-dom,rata1244,dom,symmetric II,dom-sym2,,himmelmann1999toratan[21–23],
mala1537-dom,mala1537,dom,asymmetric I,dom-asym1,,"iemmolo2011dom[205–207];keenan2008definiteness[245–246];zribi1999malagasy[186-193];pearson2001malagasy;bennett1986simple[55, 69];adelaar2014malagasy;rasoloson2005malagasy[468–469]",
yaka1277-dom,yaka1277,dom,symmetric III,dom-sym3,,brainard2002yakan[187–188],
west2560-dom,west2560,dom,asymmetric III,dom-asym3,,miller2007west_coast_bajau[142–143],
tond1251-dom,tond1251,dom,no DOM,dom-none,,brickell2014tondano[339–344],
toto1304-dom,toto1304,dom,asymmetric III,dom-asym3,,,(authors’ field notes)
pend1242-dom,pend1242,dom,asymmetric III,dom-asym3,,quick2007pendau[366–368],
bala1315-dom,bala1315,dom,no DOM,dom-none,,van2012balantak,
taji1246-dom,taji1246,dom,no DOM,dom-none,,"mayani2013tajio[142–146, 170–171]",
idaa1241-dom,idaa1241,dom,asymmetric I,dom-asym1,,goudswaard2005begak[136–139],
kima1244-dom,kima1244,dom,symmetric III,dom-sym3,,kroeger2005kimaragang[413];kroeger1988verbal[220–224],
bong1289-dom,bong1289,dom,symmetric III,dom-sym3,,boutin1994aspect;boutin2002nominative,
bela1260-dom,bela1260,dom,asymmetric III,dom-asym3,,clynes2005belait,
temp1235-dom,temp1235,dom,asymmetric III,dom-asym3,,"robinson2005tindal_dusun[10–16, 18]",
tata1257-dom,tata1257,dom,no DOM,dom-none,,dillon1994tatana[15–17],
kela1258-dom,kela1258,dom,no DOM,dom-none,,hemmings2016kelabit,
bata1293-dom,bata1293,dom,asymmetric III,dom-asym3,,"woollams1996karo[115, 187]",
bata1289-dom,bata1289,dom,asymmetric III,dom-asym3,,nababan1981toba_batak[61–74],
gayo1244-dom,gayo1244,dom,no DOM,dom-none,,eades2005gayo,
lamp1243-dom,lamp1243,dom,no DOM,dom-none,,walker1976lampung,
java1254-dom,java1254,dom,no DOM,dom-none,,suharno1982javanese;ogloblin2005javanese,
mala1481-dom,mala1481,dom,asymmetric I,dom-asym1,,iemmolo2011dom[104],
baba1267-dom,baba1267,dom,asymmetric I,dom-asym1,,lee2022grammar[135];thurgood1998baba[99–112],
indo1316-dom,indo1316,dom,asymmetric III,dom-asym3,,sneddon2010indonesian,
riau1236-dom,riau1236,dom,asymmetric III,dom-asym3,,,"(David Gil, personal communication)"
cent2053-dom,cent2053,dom,asymmetric III,dom-asym3,,mcdonnell2016besemah[76],
mina1268-dom,mina1268,dom,no DOM,dom-none,,crouch2009minangkabau,
sund1252-dom,sund1252,dom,no DOM,dom-none,,muller-gotama2001sundanese;hardjadibrata1985sundanese[35],
nucl1460-dom,nucl1460,dom,no DOM,dom-none,,davies2010madurese[247–256],
mual1241-dom,mual1241,dom,no DOM,dom-none,,tjia2007mualang[152–153],
bali1278-dom,bali1278,dom,no DOM,dom-none,,arka2003balinese[225];clynes1995balinese[194–197],
